issueSymbolIdentifier,issueName,firmCRDNumber,MPID,marketParticipantName,tierIdentifier,tierDescription,summaryStartDate,totalWeeklyTradeCount,totalWeeklyShareQuantity,productTypeCode,summaryTypeCode,weekStartDate,lastUpdateDate,initialPublishedDate,lastReportedDate,totalNotionalSum
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-03-27,213799,72688246.0,CTS,ATS_W_SMBL,2023-03-27,2023-04-17,2023-04-17,2023-03-31,29166899114.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-04-03,165092,39167521.0,CTS,ATS_W_SMBL,2023-04-03,2023-04-24,2023-04-24,2023-04-06,16016676755.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-04-10,219962,65408494.0,CTS,ATS_W_SMBL,2023-04-10,2023-05-01,2023-05-01,2023-04-14,26842464504.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-04-17,214421,54368305.0,CTS,ATS_W_SMBL,2023-04-17,2023-05-08,2023-05-08,2023-04-21,22441661981.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-04-24,239592,80976009.0,CTS,ATS_W_SMBL,2023-04-24,2023-05-15,2023-05-15,2023-04-28,33174226467.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-05-01,239193,73647641.0,CTS,ATS_W_SMBL,2023-05-01,2023-05-22,2023-05-22,2023-05-05,30253860714.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-05-08,168511,51816789.0,CTS,ATS_W_SMBL,2023-05-08,2023-05-30,2023-05-30,2023-05-12,21335658172.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-05-15,235201,92246717.0,CTS,ATS_W_SMBL,2023-05-15,2023-06-05,2023-06-05,2023-05-19,38332606167.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-05-22,249942,82454163.0,CTS,ATS_W_SMBL,2023-05-22,2023-06-12,2023-06-12,2023-05-26,34247979562.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-05-29,232714,68155562.0,CTS,ATS_W_SMBL,2023-05-29,2023-06-20,2023-06-20,2023-06-02,28681006388.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-06-05,262561,66377022.0,CTS,ATS_W_SMBL,2023-06-05,2023-06-26,2023-06-26,2023-06-09,28430982414.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-06-05,262561,66377022.0,CTS,ATS_W_SMBL,2023-06-05,2023-06-26,2023-06-26,2023-06-09,28430982414.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-06-12,358856,123229340.0,CTS,ATS_W_SMBL,2023-06-12,2023-07-03,2023-07-03,2023-06-16,53954228223.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-06-12,358856,123229340.0,CTS,ATS_W_SMBL,2023-06-12,2023-07-03,2023-07-03,2023-06-16,53954228223.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-06-19,229890,68225003.0,CTS,ATS_W_SMBL,2023-06-19,2023-07-10,2023-07-10,2023-06-23,29726440807.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-06-19,229890,68225003.0,CTS,ATS_W_SMBL,2023-06-19,2023-07-10,2023-07-10,2023-06-23,29726440807.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-06-26,264638,86499270.0,CTS,ATS_W_SMBL,2023-06-26,2023-07-17,2023-07-17,2023-06-30,37798867207.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-06-26,264638,86499270.0,CTS,ATS_W_SMBL,2023-06-26,2023-07-17,2023-07-17,2023-06-30,37798867207.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-07-03,151822,54207322.0,CTS,ATS_W_SMBL,2023-07-03,2023-07-24,2023-07-24,2023-07-07,23933346644.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-07-10,228451,79868894.0,CTS,ATS_W_SMBL,2023-07-10,2023-07-31,2023-07-31,2023-07-14,35500457503.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-07-10,228451,79868894.0,CTS,ATS_W_SMBL,2023-07-10,2023-07-31,2023-07-31,2023-07-14,35500457503.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-07-17,233230,69192641.0,CTS,ATS_W_SMBL,2023-07-17,2023-08-07,2023-08-07,2023-07-21,31343792700.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-07-17,233230,69192641.0,CTS,ATS_W_SMBL,2023-07-17,2023-08-07,2023-08-07,2023-07-21,31343792700.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-07-24,261955,71012380.0,CTS,ATS_W_SMBL,2023-07-24,2023-08-14,2023-08-14,2023-07-28,32297023399.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-07-31,258932,82069253.0,CTS,ATS_W_SMBL,2023-07-31,2023-08-21,2023-08-21,2023-08-04,37134435277.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-08-07,276673,66262154.0,CTS,ATS_W_SMBL,2023-08-07,2023-08-28,2023-08-28,2023-08-11,29651125507.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-08-14,315654,82895076.0,CTS,ATS_W_SMBL,2023-08-14,2023-09-05,2023-09-05,2023-08-18,36502044440.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-08-21,277788,71240950.0,CTS,ATS_W_SMBL,2023-08-21,2023-09-11,2023-09-11,2023-08-25,31304922828.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-08-21,277788,71240950.0,CTS,ATS_W_SMBL,2023-08-21,2023-09-11,2023-09-11,2023-08-25,31304922828.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-08-28,208493,52680585.0,CTS,ATS_W_SMBL,2023-08-28,2023-09-18,2023-09-18,2023-09-01,23619300166.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-08-28,208493,52680585.0,CTS,ATS_W_SMBL,2023-08-28,2023-09-18,2023-09-18,2023-09-01,23619300166.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-09-04,164745,44394475.0,CTS,ATS_W_SMBL,2023-09-04,2023-09-25,2023-09-25,2023-09-08,19821667040.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-09-04,164745,44394475.0,CTS,ATS_W_SMBL,2023-09-04,2023-09-25,2023-09-25,2023-09-08,19821667040.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-09-11,243206,77126118.0,CTS,ATS_W_SMBL,2023-09-11,2023-10-02,2023-10-02,2023-09-15,34487890874.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-09-11,243206,77126118.0,CTS,ATS_W_SMBL,2023-09-11,2023-10-02,2023-10-02,2023-09-15,34487890874.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-09-18,235895,74383650.0,CTS,ATS_W_SMBL,2023-09-18,2023-10-09,2023-10-09,2023-09-22,32569134605.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-09-18,235895,74383650.0,CTS,ATS_W_SMBL,2023-09-18,2023-10-09,2023-10-09,2023-09-22,32569134605.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-09-25,282698,84694477.0,CTS,ATS_W_SMBL,2023-09-25,2023-10-16,2023-10-16,2023-09-29,36232770120.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-10-02,299589,61699922.0,CTS,ATS_W_SMBL,2023-10-02,2023-10-23,2023-10-23,2023-10-06,26202323765.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-10-02,299589,61699922.0,CTS,ATS_W_SMBL,2023-10-02,2023-10-23,2023-10-23,2023-10-06,26202323765.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-10-09,214422,55855610.0,CTS,ATS_W_SMBL,2023-10-09,2023-10-30,2023-10-30,2023-10-13,24186925408.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-10-09,214422,55855610.0,CTS,ATS_W_SMBL,2023-10-09,2023-10-30,2023-10-30,2023-10-13,24186925408.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-10-16,276378,69110643.0,CTS,ATS_W_SMBL,2023-10-16,2023-11-06,2023-11-06,2023-10-20,29706342481.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-10-16,276378,69110643.0,CTS,ATS_W_SMBL,2023-10-16,2023-11-06,2023-11-06,2023-10-20,29706342481.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-10-23,311381,65062133.0,CTS,ATS_W_SMBL,2023-10-23,2023-11-13,2023-11-13,2023-10-27,27133259373.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-10-23,311381,65062133.0,CTS,ATS_W_SMBL,2023-10-23,2023-11-13,2023-11-13,2023-10-27,27133259373.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-10-30,277500,73362253.0,CTS,ATS_W_SMBL,2023-10-30,2023-11-20,2023-11-20,2023-11-03,31023959708.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-10-30,277500,73362253.0,CTS,ATS_W_SMBL,2023-10-30,2023-11-20,2023-11-20,2023-11-03,31023959708.0
SPY,SPDR S&P 500 ETF Trust,,,,NMS,NMS Tier 1,2023-11-06,213755,53992750.0,CTS,ATS_W_SMBL,2023-11-06,2023-11-27,2023-11-27,2023-11-10,23550513982.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-11-06,213755,53992750.0,CTS,ATS_W_SMBL,2023-11-06,2023-11-27,2023-11-27,2023-11-10,23550513982.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-11-13,203786,68110120.0,CTS,ATS_W_SMBL,2023-11-13,2024-03-12,2023-12-04,2024-03-12,30511418982.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-11-20,136769,32387333.0,CTS,ATS_W_SMBL,2023-11-20,2023-12-11,2023-12-11,2023-11-24,14698140359.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-11-27,216697,55834708.0,CTS,ATS_W_SMBL,2023-11-27,2023-12-18,2023-12-18,2023-12-01,25440492341.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-12-04,246311,63619051.0,CTS,ATS_W_SMBL,2023-12-04,2023-12-26,2023-12-26,2023-12-08,29088279043.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-12-11,297798,109203433.0,CTS,ATS_W_SMBL,2023-12-11,2024-01-02,2024-01-02,2023-12-15,51082506653.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-12-18,285567,69116640.0,CTS,ATS_W_SMBL,2023-12-18,2024-01-08,2024-01-08,2023-12-22,32627136734.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-12-25,188486,94741718.0,CTS,ATS_W_SMBL,2023-12-25,2024-01-16,2024-01-16,2023-12-29,45072481724.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2024-01-01,256052,96415682.0,CTS,ATS_W_SMBL,2024-01-01,2024-01-22,2024-01-22,2024-01-05,45365443764.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2024-01-08,225913,55355870.0,CTS,ATS_W_SMBL,2024-01-08,2024-01-29,2024-01-29,2024-01-12,26265947844.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2024-01-15,230645,78353838.0,CTS,ATS_W_SMBL,2024-01-15,2024-02-05,2024-02-05,2024-01-19,37295127647.0
